"model","pct.sparsity","npar","unit","diag","dense","sparse","sparse-J"
"diamonds",0,26,1,0.807583703106091,1.01464610419834,0.860241412480219,1.10770471964502
"wham",66.21,385,1,0.917897259412051,0.954434784511766,0.92828731035011,0.924845845347457
"lynx",63.02,50,1,1.08095637583893,1.18246644295302,0.931208053691275,1.26719798657718
"sdmTMB",81.27,219,1,1.00099286299135,1.01502188811595,1.00050287865796,1.00626664173764
"hmmTMB",94.29,274,1,0.997654356217994,1.01380940285387,1.02412856302141,1.011096860245
"swallows",75.41,177,1,1.00641553600069,1.05995058303351,1.04213446616672,1.11526290693138
"pollock",28.28,351,1,1.01345901331833,1.26153629712999,1.10007503282686,1.15339523541549
"wildf",98.42,1101,1,1.00659965478729,6.75550817341862,1.11432632754594,1.32947507361153
"radon",98.46,389,1,1.01204223028703,2.11679313757836,1.14153744638733,1.62372154404487
"glmmTMB",44.53,39,1,1.00891530460624,1.36503219415552,1.15156017830609,1.845715700842
"causal",78.7,264,1,1.00560616678346,1.4634898388227,1.18093903293623,1.33777154870357
"stockassessment",96.57,1226,1,1.02325581395349,14.7038634658665,1.39553638409602,3.25937734433608
"irt_2pl",56.32,144,1,1.06621205455345,1.67553893532776,1.6385833699956,2.02947646282446
"simple",92.1,118,1,1.04626334519573,2.10320284697509,2.05516014234875,5.80604982206406
"schools",62.22,10,1,0.682539682539683,0.978835978835979,2.09259259259259,3.89153439153439
"gp_pois_regr",0,13,1,1.05527638190955,1.08542713567839,2.4321608040201,4.2035175879397
